epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1785.21,1.29936,0.9489,1.30813,0.91955,0.87477,0.91925,0.50253,1.56578,0.8983,1.43976,0.000666163,0.000666163,0.000666163
2,2778.87,1.27485,0.76417,1.29154,0.94391,0.88086,0.93176,0.55866,1.41694,0.76592,1.33003,0.00120088,0.00120088,0.00120088
3,3362.47,1.23411,0.70574,1.26294,0.94772,0.90122,0.93932,0.53638,1.51382,0.70382,1.39491,0.0016036,0.0016036,0.0016036
4,3917.29,1.19899,0.65706,1.23813,0.96629,0.91792,0.95642,0.61263,1.33203,0.62481,1.27607,0.001406,0.001406,0.001406
5,4447.91,1.16942,0.60431,1.21548,0.94939,0.92383,0.96246,0.61037,1.32461,0.60148,1.27301,0.001208,0.001208,0.001208
6,5978.62,1.1496,0.56854,1.20242,0.97386,0.92495,0.96873,0.6247,1.30183,0.56271,1.24995,0.00101,0.00101,0.00101
7,6502.37,1.1194,0.53696,1.18037,0.97155,0.92902,0.97021,0.65006,1.20887,0.55563,1.20133,0.000812,0.000812,0.000812
8,7078.48,1.10154,0.50432,1.17015,0.97747,0.93606,0.97181,0.64199,1.25087,0.51246,1.21451,0.000614,0.000614,0.000614
9,10108.1,1.07669,0.48254,1.15085,0.97111,0.94653,0.978,0.6762,1.16409,0.48715,1.17293,0.000416,0.000416,0.000416
10,10683.5,1.04925,0.45489,1.13185,0.97536,0.94695,0.97955,0.68546,1.15168,0.46238,1.16074,0.000218,0.000218,0.000218
